date,ship_1,type,nationality_1,ship_2,nationality_2,location,latitude,longitude,outcome,source,type,status
6/3/1798,Luna,armed barque,USA,6 privateers,France,near Tortola,18.472359,-64.672053,in convoy Luna captured 6 privateers,QW2:177,Captured by Americans,MP
2/3/1799,United States,frigate,USA,L'Amour de la Patrie,France,windward of Martinique,15.08,-60.68,United States sunk privateer,QW2:305,Sunk by Americans,NP
2/9/1799,Constellation,frigate,USA,L'Insurgente,France,Nevis WSW 5 leagues,17.2652777,-62.29694,Constellation captured L'Insurgente,QW2:327,Captured by Americans,NN
3/4/1799,Delaware,,USA,Marsouin,France,off Moro Castle,23.614626,-82.751741,Delaware captured the Marsouin,QW2:421,Captured by Americans,NP
3/7/1799,Constellation,frigate,USA,Union (letter of marque),France,off Basseterre Roads Guadeloupe,15.984396,-61.751469,Constellation captured Union,QW2:458,Captured by Americans,NP
8/23/1798,United States and Delaware,frigate and sloop,USA,Sans Pareil,France,northwest of Martinique,14.984034,-61.560056,Sans Pareil captured,QW2:479,Captured by Americans,NP
9/5/1798,United States and Delaware,frigate and sloop,USA,Jaloux,France,near San Juan,18.830375,-66.108395,Jaloux captured,QW2:479,Captured by Americans,NP
2/4/1799,United States,frigate,USA,Tartuffe,France,NE of St Lucia,14.261394,-60.687452,Tartuffe captured,QW2:479,Captured by Americans,NP
3/1/1799,Montezuma,brig,USA,Les Amis,France,S of St Croix,17.623694,-64.831874,Les Amis captured,QW2:479,Captured by Americans,NP
4/17/1799,Constellation and L'Insurgente,frigate,USA,Diligente,France,Guadeloupe NNE 8 leagues,15.5638,-61.824,Dilgente captured ,QW3:63,Captured by Americans,NP
4/17/1799?,Eagle,brig,USA,Bon Pierre,France,5 leagues to windward of Antigua,17.0863,-61.4105,Bon Pierre captured,QW3:157,Captured by Americans,MP
6/16/1799,Ganges,ship,USA,Vainqueure,France,NEbN of St. Bartholomews 16 or 18 leagues,18.6125,-62.38694,Vainqueure captured,QW3:346,Captured by Americans,NP
